,Unnamed: 0,uri,ms,origin,origin_prev_ms
0,0,0820IbnMutawwaj,753,self,False
763,812,0685IbnSacidMaghribi,753,self,False
1,1,0820IbnMutawwaj,785,self,False
2,2,0820IbnMutawwaj,1293,self,False
362,396,0692IbnCabdZahir.RawdaBahiyya,1293,self,False
3,3,0820IbnMutawwaj,1394,self,False
4,4,0820IbnMutawwaj,1688,self,False
5,5,0276IbnQutaybaDinawari.GharibHadith,46,self,False
614,663,0231IbnZiyadAcrabi,46,self,False
6,6,0276IbnQutaybaDinawari.GharibHadith,676,self,False
289,323,0257IbnCabdHakam.FutuhMisr,676,self,False
2283,0,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.89,False
2287,4,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.90,True
7,7,0276IbnQutaybaDinawari.GharibHadith,677,self,False
1129,0,0257IbnCabdHakam.FutuhMisr,677,0911Suyuti.HusnMuhadara.89,False
1131,2,0257IbnCabdHakam.FutuhMisr,677,0911Suyuti.HusnMuhadara.90,True
8,8,0276IbnQutaybaDinawari,1907,self,False
9,9,0695SarrajDinWaraq,1970,self,False
10,10,0151IbnIshaq.Sira,51,self,False
999,0,0151IbnIshaq.Sira,51,0213IbnHisham.SiraNabawiyya.3,False
1000,1,0151IbnIshaq.Sira,51,0581AbuQasimSuhayli.RawdUnuf.22,True
11,11,0151IbnIshaq.Sira,322,self,False
504,541,0596IbnWasifShah.MukhtasarCajaibDunya,322,self,False
12,12,0151IbnIshaq.Sira,424,self,False
1346,0,0151IbnIshaq.Sira,424,0711IbnManzurIfriqi.MukhtasarTarikhDimashq.102,False
1347,1,0151IbnIshaq.Sira,424,0213IbnHisham.SiraNabawiyya.817,True
1348,2,0151IbnIshaq.Sira,424,0581AbuQasimSuhayli.RawdUnuf.1617,True
1349,3,0151IbnIshaq.Sira,424,0751IbnQayyimJawziyya.ZadMacad.895,True
162,187,0346Mascudi,424,self,False
13,13,0151IbnIshaq.Sira,429,self,False
128,128,0487AbuCubaydBakri.MucjamMaIstacjama,429,self,False
164,191,0346Mascudi.MurujDhahab,429,self,False
14,14,0151IbnIshaq.Sira,656,self,False
269,303,0257IbnCabdHakam.FutuhMisr,656,self,False
2411,0,0257IbnCabdHakam.FutuhMisr,656,0930IbnIyas.BadaicZuhur.73,False
726,775,0350MuhammadKindi.FadailMisr,656,self,False
2412,1,0207Waqidi,656,0930IbnIyas.BadaicZuhur.73,False
2413,2,0207Waqidi,656,0814IbnZayyat.KawakibSayyara.9,True
15,15,0151IbnIshaq.Sira,1292,self,False
615,664,0231IbnZiyadAcrabi,1292,self,False
847,897,0180Sibawayhi,1292,self,False
2230,3,0180Sibawayhi,1292,0711IbnManzurIfriqi.LisanCarab.7418,False
2232,5,0180Sibawayhi,1292,0762MughultayIbnQilij.SharhSunanIbnMaja.1087,False
2236,9,0180Sibawayhi,1292,0711IbnManzurIfriqi.LisanCarab.7418,True
2227,0,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7417,False
2228,1,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7418,False
2229,2,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7419,False
2231,4,0458IbnSidaMursi.MuhkamWaMuhit,1292,0762MughultayIbnQilij.SharhSunanIbnMaja.1087,False
2233,6,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7418,True
2234,7,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7419,True
2235,8,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7420,True
16,16,0151IbnIshaq.Sira,2181,self,False
17,17,0529AbuSalt,270,self,False
2376,5,0529AbuSalt,270,0930IbnIyas.NuzhatUmam.127,False
2378,7,0529AbuSalt,270,0930IbnIyas.NuzhatUmam.127,True
133,133,0440AbuRayhanBiruni,270,self,False
2371,0,0820IbnMutawwaj,270,0911Suyuti.HusnMuhadara.51,False
2373,2,0820IbnMutawwaj,270,0911Suyuti.TuhfatKiram.6,False
2372,1,0346Mascudi,270,0911Suyuti.HusnMuhadara.51,False
2374,3,0346Mascudi,270,0911Suyuti.TuhfatKiram.6,False
18,18,0588IbnMamun.AkhbarMisr,72,self,False
744,793,0387IbnZulaq,72,self,False
19,19,0588IbnMamun.AkhbarMisr,251,self,False
473,510,0596QadiFadil,251,self,False
20,20,0588IbnMamun.AkhbarMisr,252,self,False
21,21,0588IbnMamun.AkhbarMisr,484,self,False
1995,0,0588IbnMamun.AkhbarMisr,484,0588IbnMamun.AkhbarMisr.16,False
1996,1,0588IbnMamun.AkhbarMisr,484,0930IbnIyas.NuzhatUmam.176,False
1997,2,0588IbnMamun.AkhbarMisr,484,0930IbnIyas.NuzhatUmam.177,False
1999,4,0588IbnMamun.AkhbarMisr,484,0930IbnIyas.NuzhatUmam.177,True
722,771,0350MuhammadKindi.FadailMisr,484,self,False
826,876,0292Yacqubi,484,self,False
22,22,0588IbnMamun.AkhbarMisr,485,self,False
2684,0,0588IbnMamun.AkhbarMisr,485,0588IbnMamun.AkhbarMisr.16,False
23,23,0588IbnMamun.AkhbarMisr,606,self,False
1033,0,0588IbnMamun.AkhbarMisr,606,0588IbnMamun.AkhbarMisr.68,False
460,497,0420Musabbihi.AkhbarMisr,606,self,False
24,24,0588IbnMamun.AkhbarMisr,612,self,False
1623,4,0588IbnMamun.AkhbarMisr,612,0930IbnIyas.NuzhatUmam.217,True
529,566,0596IbnWasifShah.MukhtasarCajaibDunya,612,self,False
1620,1,0596IbnWasifShah.MukhtasarCajaibDunya,612,0930IbnIyas.NuzhatUmam.216,False
742,791,0453CaliIbnRidwan,612,self,False
1619,0,0453CaliIbnRidwan,612,0930IbnIyas.NuzhatUmam.216,False
746,795,0387IbnZulaq,612,self,False
1621,2,0387IbnZulaq,612,0930IbnIyas.NuzhatUmam.216,False
25,25,0588IbnMamun.AkhbarMisr,613,self,False
2347,1,0588IbnMamun.AkhbarMisr,613,0930IbnIyas.NuzhatUmam.217,False
487,524,0596QadiFadil.Mutajaddidat,613,self,False
2346,0,0596QadiFadil.Mutajaddidat,613,0930IbnIyas.NuzhatUmam.217,False
26,26,0588IbnMamun.AkhbarMisr,637,self,False
27,27,0588IbnMamun.AkhbarMisr,638,self,False
28,28,0588IbnMamun.AkhbarMisr,639,self,False
29,29,0588IbnMamun.AkhbarMisr,640,self,False
30,30,0588IbnMamun.AkhbarMisr,641,self,False
488,525,0596QadiFadil.Mutajaddidat,641,self,False
31,31,0588IbnMamun.AkhbarMisr,761,self,False
32,32,0588IbnMamun.AkhbarMisr,903,self,False
2300,0,0588IbnMamun.AkhbarMisr,903,0588IbnMamun.AkhbarMisr.107,False
2301,1,0588IbnMamun.AkhbarMisr,903,0845Maqrizi.MusawwadatMawaciz.308,False
631,680,0617IbnTuwayr.NuzhatMuqlatayn,903,self,False
2302,2,0617IbnTuwayr.NuzhatMuqlatayn,903,0845Maqrizi.MusawwadatMawaciz.308,False
2303,3,0617IbnTuwayr.NuzhatMuqlatayn,903,0845Maqrizi.MusawwadatMawaciz.309,True
871,921,0736IbnDawadari.KanzDurar,903,self,False
33,33,0588IbnMamun.AkhbarMisr,904,self,False
632,681,0617IbnTuwayr.NuzhatMuqlatayn,904,self,False
34,34,0588IbnMamun.AkhbarMisr,905,self,False
35,35,0588IbnMamun.AkhbarMisr,906,self,False
1154,0,0588IbnMamun.AkhbarMisr,906,0588IbnMamun.AkhbarMisr.74,True
