,source_uri,ms count
25,0257IbnCabdHakam.FutuhMisr,149
80,0588IbnMamun.AkhbarMisr,149
106,0692IbnCabdZahir.RawdaBahiyya,134
87,0617IbnTuwayr.NuzhatMuqlatayn,102
49,0350MuhammadKindi.WulatMisr,83
44,0346Mascudi.MurujDhahab,77
62,0454Qudaci,65
82,0596IbnWasifShah.MukhtasarCajaibDunya,55
57,0420Musabbihi.AkhbarMisr,54
43,0346Mascudi,48
4,0000AnonymousPlural,40
55,0387IbnZulaq,38
17,0207Waqidi,33
11,0151IbnIshaq.Sira,30
84,0596QadiFadil.Mutajaddidat,30
1,0000Anonymous,28
24,0255Jahiz.Hayawan,28
117,Anonymous,25
99,0677IbnMuyassar.AkhbarMisr,23
73,0528HakamIbnAbiSalt,22
46,0347IbnYunusSadafi.Tarikh,20
47,0350Balawi.SiratAhmadIbnTulun,20
48,0350MuhammadKindi.FadailMisr,20
18,0209AbuCubayda,19
68,0458IbnSidaMursi.MuhkamWaMuhit,19
101,0685IbnSacidMaghribi,19
115,0820IbnMutawwaj,19
69,0460Anonymous.DhakhairTuhaf,18
94,0630IbnAbiTayyi,16
21,0230IbnSacd.TabaqatKubra,14
72,0487Bakri,12
53,0375AnonymousTranslator.TarikhCalamUrusiyus,11
61,0453CaliIbnRidwan,11
100,0681IbnKhallikan.WafayatAcyan,11
22,0231IbnZiyadAcrabi,9
12,0180Sibawayhi,8
26,0262CumarIbnShabba,8
32,0279Baladhuri,8
2,0000Anonymous.CajabBunyan,7
5,0000Aristutulis,7
40,0310Tabari.Tarikh,7
45,0346Mascudi.TanbihWaIshraf,7
88,0626YaqutHamawi,7
27,0276IbnQutaybaDinawari,6
56,0388Shabushti.Diyarat,6
71,0487AbuCubaydBakri.MucjamMaIstacjama,6
75,0529AbuSalt,6
103,0685IbnSacidMaghribi.Maghrib,6
16,0204IbnKalbi,5
97,0646IbnBaytarAndalusi.JamicLiMufradat,5
9,0000Hirmus,4
42,0337QudamaIbnJacfar,4
74,0528HakamIbnAbiSalt.Diwan,4
77,0560SharifIdrisi.NuzhatMushtaq,4
92,0626YaqutHamawi.Mushtarik,4
14,0182AbuYusufYacqub.Kharaj,3
30,0276IbnQutaybaDinawari.GharibHadith,3
33,0279Baladhuri.AnsabAshraf,3
34,0280IbnTayfur,3
50,0367IbnHawqal.SuratArd,3
81,0596IbnWasifShah,3
90,0626YaqutHamawi.MucjamBuldan,3
15,0198SufyanIbnCuyayna,2
19,0209AbuCubayda.Dibaj,2
20,0209AbuCubayda.MajazQuran,2
23,0241IbnHanbal,2
35,0282AbuHanifaDinawari,2
37,0292Yacqubi,2
39,0300IbnKhurdadhbih.MasalikWaMamalik,2
54,0383IbnCabbasKhwarizmi,2
60,0450Anonymous.SiratYazuri,2
63,0458Bayhaqi,2
64,0458Bayhaqi.DalailNubuwwa,2
76,0542IbnMunjibTajRiyasaIbnSayrafi,2
79,0581AbuQasimSuhayli.RawdUnuf,2
83,0596QadiFadil,2
86,0614IbnJubayr.Rihla,2
91,0626YaqutHamawi.MucjamUdaba,2
104,0685IbnSacidMaghribi.Muhalla,2
107,0695SarrajDinWaraq,2
109,0730ShaficIbnCali,2
116,567IbnQalaqis,2
0,0000Abaqrat0000Btulimus,1
3,0000Anonymous.CajabHikayat,1
6,0000Dimquratus,1
7,0000Disquridus,1
8,0000Hirdusus,1
10,0150AbuHanifa,1
13,0182AbuYusufYacqub.Athar,1
28,0276IbnQutaybaDinawari.AdabKatib,1
29,0276IbnQutaybaDinawari.AnwaFiMawasim,1
31,0276IbnQutaybaDinawari.TawilMushkilQuran,1
36,0282AbuHanifaDinawari.Nabat,1
38,0300IbnKhurdadhbih,1
41,0334AbuMuhammadHamdani.IklilAkhbarYaman,1
51,0370CaribQurtubi,1
52,0370CaribQurtubi.SilaTarikhTabari,1
58,0428IbnSina,1
59,0440AbuRayhanBiruni,1
65,0458Bayhaqi.Khilafiyyat,1
66,0458Bayhaqi.MacrifatSunanWaAthar,1
67,0458Bayhaqi.SunanKubra,1
70,0460IbnButlan,1
78,0576AbuTahirSilafi.MucjamSafar,1
85,0606IbnMamati.QawaninDawawin,1
89,0626YaqutHamawi.Khazal,1
93,0629CabdLatifBaghdadi,1
95,0633IbnDihyaJumayyilKalbi,1
96,0633IbnDihyaJumayyilKalbi.NibrasFiTarikh,1
98,0665AbuShama.Rawdatayn,1
102,0685IbnSacidMaghribi.Jughrafiya,1
105,0685IbnSacidMaghribi.Muqtataf,1
108,0697IbnWasil,1
110,0736IbnDawadari.KanzDurar,1
111,0748Adfuwi,1
112,0748Adfuwi.TalicSacid,1
113,0774IbnKathir,1
114,0807IbnFurat.TarikhDuwal,1
