,Unnamed: 0.1,Unnamed: 0,uri,ms,origin,origin_prev_ms
0,0,0.0,0820IbnMutawwaj,753,self,False
763,763,812.0,0685IbnSacidMaghribi,753,self,False
1,1,1.0,0820IbnMutawwaj,785,self,False
2,2,2.0,0820IbnMutawwaj,1293,self,False
362,362,396.0,0692IbnCabdZahir.RawdaBahiyya,1293,self,False
3,3,3.0,0820IbnMutawwaj,1394,self,False
4,4,4.0,0820IbnMutawwaj,1688,self,False
5,5,5.0,0276IbnQutaybaDinawari.GharibHadith,46,self,False
614,614,663.0,0231IbnZiyadAcrabi,46,self,False
6,6,6.0,0276IbnQutaybaDinawari.GharibHadith,676,self,False
289,289,323.0,0257IbnCabdHakam.FutuhMisr,676,self,False
2246,0,,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.89,False
2248,2,,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.88,True
7,7,7.0,0276IbnQutaybaDinawari.GharibHadith,677,self,False
8,8,8.0,0276IbnQutaybaDinawari,1907,self,False
9,9,9.0,0695SarrajDinWaraq,1970,self,False
10,10,10.0,0151IbnIshaq.Sira,51,self,False
999,0,,0151IbnIshaq.Sira,51,0213IbnHisham.SiraNabawiyya.3,False
1000,1,,0151IbnIshaq.Sira,51,0213IbnHisham.SiraNabawiyya.2,True
11,11,11.0,0151IbnIshaq.Sira,322,self,False
504,504,541.0,0596IbnWasifShah.MukhtasarCajaibDunya,322,self,False
12,12,12.0,0151IbnIshaq.Sira,424,self,False
1328,0,,0151IbnIshaq.Sira,424,0711IbnManzurIfriqi.MukhtasarTarikhDimashq.102,False
1329,1,,0151IbnIshaq.Sira,424,0213IbnHisham.SiraNabawiyya.815,True
1330,2,,0151IbnIshaq.Sira,424,0581AbuQasimSuhayli.RawdUnuf.1615,True
1331,3,,0151IbnIshaq.Sira,424,0748Dhahabi.SiyarAclamNubala.548,True
1332,4,,0151IbnIshaq.Sira,424,0748Dhahabi.TarikhIslam.364,True
162,162,187.0,0346Mascudi,424,self,False
13,13,13.0,0151IbnIshaq.Sira,429,self,False
128,128,128.0,0487AbuCubaydBakri.MucjamMaIstacjama,429,self,False
164,164,191.0,0346Mascudi.MurujDhahab,429,self,False
14,14,14.0,0151IbnIshaq.Sira,656,self,False
269,269,303.0,0257IbnCabdHakam.FutuhMisr,656,self,False
2369,0,,0257IbnCabdHakam.FutuhMisr,656,0930IbnIyas.BadaicZuhur.73,False
726,726,775.0,0350MuhammadKindi.FadailMisr,656,self,False
15,15,15.0,0151IbnIshaq.Sira,1292,self,False
615,615,664.0,0231IbnZiyadAcrabi,1292,self,False
847,847,897.0,0180Sibawayhi,1292,self,False
2183,3,,0180Sibawayhi,1292,0711IbnManzurIfriqi.LisanCarab.7418,False
2185,5,,0180Sibawayhi,1292,0762MughultayIbnQilij.SharhSunanIbnMaja.1087,False
2189,9,,0180Sibawayhi,1292,0711IbnManzurIfriqi.LisanCarab.7418,True
2180,0,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7417,False
2181,1,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7418,False
2182,2,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7419,False
2184,4,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0762MughultayIbnQilij.SharhSunanIbnMaja.1087,False
2186,6,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7416,True
2187,7,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7417,True
2188,8,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7418,True
16,16,16.0,0151IbnIshaq.Sira,2181,self,False
17,17,17.0,0529AbuSalt,270,self,False
2343,5,,0529AbuSalt,270,0930IbnIyas.NuzhatUmam.127,False
133,133,133.0,0440AbuRayhanBiruni,270,self,False
18,18,18.0,0588IbnMamun.AkhbarMisr,72,self,False
