,uri,ms,origin,origin_prev_ms
0,0820IbnMutawwaj,753,self,False
1,0820IbnMutawwaj,785,self,False
2,0820IbnMutawwaj,1293,self,False
3,0820IbnMutawwaj,1394,self,False
4,0820IbnMutawwaj,1688,self,False
5,0276IbnQutaybaDinawari.GharibHadith,46,self,False
6,0276IbnQutaybaDinawari.GharibHadith,676,self,False
7,0276IbnQutaybaDinawari.GharibHadith,677,self,False
8,0276IbnQutaybaDinawari,1907,self,False
9,0695SarrajDinWaraq,1970,self,False
10,0151IbnIshaq.Sira,51,self,False
11,0151IbnIshaq.Sira,656,self,False
12,0151IbnIshaq.Sira,1292,self,False
13,0529AbuSalt,270,self,False
14,0588IbnMamun.AkhbarMisr,484,self,False
15,0588IbnMamun.AkhbarMisr,485,self,False
16,0629CabdLatifBaghdadi,1944,self,False
17,0487AbuCubaydBakri.MucjamMaIstacjama,420,self,False
18,0487AbuCubaydBakri.MucjamMaIstacjama,429,self,False
19,0487AbuCubaydBakri.MucjamMaIstacjama,430,self,False
20,0487AbuCubaydBakri.MucjamMaIstacjama,467,self,False
21,0487AbuCubaydBakri.MucjamMaIstacjama,525,self,False
22,0487AbuCubaydBakri.MucjamMaIstacjama,654,self,False
23,0440AbuRayhanBiruni,270,self,False
24,0346Mascudi.MurujDhahab,59,self,False
25,0346Mascudi.MurujDhahab,60,self,False
26,Anonymous,241,self,False
27,Anonymous,497,self,False
28,0257IbnCabdHakam.FutuhMisr,47,self,False
29,0257IbnCabdHakam.FutuhMisr,48,self,False
30,0257IbnCabdHakam.FutuhMisr,61,self,False
31,0257IbnCabdHakam.FutuhMisr,62,self,False
32,0257IbnCabdHakam.FutuhMisr,63,self,False
33,0257IbnCabdHakam.FutuhMisr,64,self,False
34,0257IbnCabdHakam.FutuhMisr,65,self,False
35,0257IbnCabdHakam.FutuhMisr,83,self,False
36,0257IbnCabdHakam.FutuhMisr,84,self,False
37,0257IbnCabdHakam.FutuhMisr,85,self,False
38,0257IbnCabdHakam.FutuhMisr,86,self,False
39,0257IbnCabdHakam.FutuhMisr,110,self,False
40,0257IbnCabdHakam.FutuhMisr,129,self,False
