,source_uri,ms count
11,0257IbnCabdHakam.FutuhMisr,180
43,0692IbnCabdZahir.RawdaBahiyya,162
29,0454Qudaci,75
35,0596IbnWasifShah.MukhtasarCajaibDunya,69
5,0209AbuCubayda,39
49,0820IbnMutawwaj,39
27,0420Musabbihi.AkhbarMisr,31
40,0630IbnAbiTayyi,25
1,0151IbnIshaq.Sira,21
23,0350Balawi.SiratAhmadIbnTulun,20
13,0276IbnQutaybaDinawari,14
26,0375AnonymousTranslator.TarikhCalamUrusiyus,14
24,0350MuhammadKindi.WulatMisr,13
9,0230IbnSacd.TabaqatKubra,12
32,0487Bakri,12
44,0695SarrajDinWaraq,12
22,0346Mascudi.MurujDhahab,11
18,0300IbnKhurdadhbih,9
20,0310Tabari.Tarikh,9
10,0241IbnHanbal,8
50,Anonymous,7
4,0198SufyanIbnCuyayna,6
31,0487AbuCubaydBakri.MucjamMaIstacjama,6
30,0458IbnSidaMursi.MuhkamWaMuhit,5
37,0596QadiFadil.Mutajaddidat,5
41,0646IbnBaytarAndalusi.JamicLiMufradat,5
48,0774IbnKathir,5
16,0276IbnQutaybaDinawari.GharibHadith,4
21,0337QudamaIbnJacfar,4
3,0182AbuYusufYacqub.Kharaj,3
12,0262CumarIbnShabba,3
6,0209AbuCubayda.Dibaj,2
7,0209AbuCubayda.MajazQuran,2
25,0367IbnHawqal.SuratArd,2
34,0588IbnMamun.AkhbarMisr,2
45,0730ShaficIbnCali,2
0,0150AbuHanifa,1
2,0182AbuYusufYacqub.Athar,1
8,0209AbuCubayda.SharhNaqaidJarir,1
14,0276IbnQutaybaDinawari.AdabKatib,1
15,0276IbnQutaybaDinawari.AnwaFiMawasim,1
17,0276IbnQutaybaDinawari.TawilMushkilQuran,1
19,0300IbnKhurdadhbih.MasalikWaMamalik,1
28,0440AbuRayhanBiruni,1
33,0529AbuSalt,1
36,0596QadiFadil,1
38,0606IbnMamati.QawaninDawawin,1
39,0629CabdLatifBaghdadi,1
42,0665AbuShama.Rawdatayn,1
46,0748Adfuwi,1
47,0748Adfuwi.TalicSacid,1
